timestamp,rows,time_taken,energy_consumption,previous_temp,previous_humi,current_temp,current_humi,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode,FC_Unit_3_Status,FC_Unit_3_Fan_Status,FC_Unit_3_Set_Point,FC_Unit_3_Operation_Mode,FC_Unit_4_Status,FC_Unit_4_Fan_Status,FC_Unit_4_Set_Point,FC_Unit_4_Operation_Mode,FC_Unit_5_Status,FC_Unit_5_Fan_Status,FC_Unit_5_Set_Point,FC_Unit_5_Operation_Mode,FC_Unit_6_Status,FC_Unit_6_Fan_Status,FC_Unit_6_Set_Point,FC_Unit_6_Operation_Mode,FC_Unit_7_Status,FC_Unit_7_Fan_Status,FC_Unit_7_Set_Point,FC_Unit_7_Operation_Mode,FC_Unit_8_Status,FC_Unit_8_Fan_Status,FC_Unit_8_Set_Point,FC_Unit_8_Operation_Mode
1734353268,[],[],[],[],[],28.2,72.833,ON,VERY LOW,22.8,COOL,OFF,OFF,19.0,COOL,ON,VERY LOW,23.4,COOL,OFF,OFF,23.3,DRY,ON,VERY LOW,22.8,COOL,OFF,OFF,23.2,COOL,ON,MID,23.0,COOL,OFF,OFF,23.2,DRY
1734891432,"[5263, 5262, 5261, 5260, 5259, 5258, 5257, 5256, 5255, 5254]","[349, 717, 984, 1377, 1639, 2036, 2311, 2696, 2971, 3349]","[0.0, 0.0, 0.0, 0.0, 0.009999999999990905, 0.009999999999990905, 0.020000000000010232, 0.020000000000010232, 1.0200000000000102, 0.020000000000010232]","[27.871, 27.886, 27.9, 27.883, 27.883, 27.9, 27.9, 27.886, 27.9, 27.871]","[70.562, 70.562, 70.214, 70.714, 70.143, 70.438, 70.071, 70.125, 69.786, 70.188]",27.917,70.214,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734893414,"[5269, 5268, 5267, 5266, 5265, 5264, 5263, 5262, 5261, 5260]","[388, 663, 1047, 1323, 1651, 1982, 2331, 2699, 2966, 3359]","[1.0, 0.009999999999990905, 1.009999999999991, 0.009999999999990905, 1.009999999999991, 0.01999999999998181, 0.01999999999998181, 0.01999999999998181, 0.01999999999998181, 0.01999999999998181]","[27.9, 27.917, 27.883, 27.917, 27.886, 27.917, 27.871, 27.886, 27.9, 27.883]","[70.688, 70.214, 70.714, 70.214, 70.562, 70.214, 70.562, 70.562, 70.214, 70.714]",27.917,70.5,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734892091,"[5265, 5264, 5263, 5262, 5261, 5260, 5259, 5258, 5257, 5256]","[328, 659, 1008, 1376, 1643, 2036, 2298, 2695, 2970, 3355]","[1.0, 0.009999999999990905, 0.009999999999990905, 0.009999999999990905, 0.009999999999990905, 0.009999999999990905, 0.01999999999998181, 0.01999999999998181, 0.030000000000001137, 0.030000000000001137]","[27.886, 27.917, 27.871, 27.886, 27.9, 27.883, 27.883, 27.9, 27.9, 27.886]","[70.562, 70.214, 70.562, 70.562, 70.214, 70.714, 70.143, 70.438, 70.071, 70.125]",27.917,70.214,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734892751,"[5267, 5266, 5265, 5264, 5263, 5262, 5261, 5260, 5259, 5258]","[384, 660, 988, 1319, 1668, 2036, 2303, 2696, 2958, 3355]","[1.0, 0.0, 1.0, 0.009999999999990905, 0.009999999999990905, 0.009999999999990905, 0.009999999999990905, 0.009999999999990905, 0.01999999999998181, 0.01999999999998181]","[27.883, 27.917, 27.886, 27.917, 27.871, 27.886, 27.9, 27.883, 27.883, 27.9]","[70.714, 70.214, 70.562, 70.214, 70.562, 70.562, 70.214, 70.714, 70.143, 70.438]",27.917,70.214,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734353594,[3503],[326],[0.7300000000004729],[28.2],[72.833],27.9,71.5,ON,VERY LOW,22.8,COOL,OFF,OFF,19.0,COOL,ON,VERY LOW,23.4,COOL,OFF,OFF,23.3,DRY,ON,VERY LOW,22.8,COOL,OFF,OFF,23.2,COOL,ON,MID,23.0,COOL,OFF,OFF,23.2,DRY
1734889396,"[5257, 5256, 5255, 5254, 5253, 5252, 5251, 5250, 5249, 5248]","[275, 660, 935, 1313, 1650, 1928, 2257, 2580, 2970, 3233]","[0.010000000000019327, 0.010000000000019327, 1.0100000000000193, 0.010000000000019327, 1.0100000000000193, 0.010000000000019327, 0.010000000000019327, 0.020000000000010232, 0.030000000000001137, 0.030000000000001137]","[27.9, 27.886, 27.9, 27.871, 27.886, 27.9, 27.871, 27.85, 27.857, 27.833]","[70.071, 70.125, 69.786, 70.188, 70.0, 69.357, 69.125, 68.571, 69.25, 68.571]",27.9,70.438,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734890448,"[5260, 5259, 5258, 5257, 5256, 5255, 5254, 5253, 5252, 5251]","[393, 655, 1052, 1327, 1712, 1987, 2365, 2702, 2980, 3309]","[0.0, 0.009999999999990905, 0.009999999999990905, 0.020000000000010232, 0.020000000000010232, 1.0200000000000102, 0.020000000000010232, 1.0200000000000102, 0.020000000000010232, 0.020000000000010232]","[27.883, 27.883, 27.9, 27.9, 27.886, 27.9, 27.871, 27.886, 27.9, 27.871]","[70.714, 70.143, 70.438, 70.071, 70.125, 69.786, 70.188, 70.0, 69.357, 69.125]",27.9,70.214,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734888461,[],[],[],[],[],27.9,69.786,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734893026,[],[],[],[],[],27.9,70.688,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734889121,"[5256, 5255, 5254, 5253, 5252, 5251, 5250, 5249, 5248, 5247]","[385, 660, 1038, 1375, 1653, 1982, 2305, 2695, 2958, 3355]","[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.009999999999990905, 0.01999999999998181, 0.01999999999998181, 0.01999999999998181]","[27.886, 27.9, 27.871, 27.886, 27.9, 27.871, 27.85, 27.857, 27.833, 27.8]","[70.125, 69.786, 70.188, 70.0, 69.357, 69.125, 68.571, 69.25, 68.571, 69.062]",27.9,70.071,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734887468,"[5251, 5250, 5249, 5248, 5247, 5246, 5245, 5244, 5243, 5242]","[329, 652, 1042, 1305, 1702, 1972, 2363, 2637, 2987, 3352]","[0.0, 0.009999999999990905, 0.01999999999998181, 0.01999999999998181, 0.01999999999998181, 1.0199999999999818, 0.01999999999998181, 1.0199999999999818, 0.01999999999998181, 0.030000000000001137]","[27.871, 27.85, 27.857, 27.833, 27.8, 27.833, 27.786, 27.8, 27.786, 27.771]","[69.125, 68.571, 69.25, 68.571, 69.062, 68.571, 69.062, 68.571, 69.188, 69.188]",27.9,69.357,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734888736,"[5255, 5254, 5253, 5252, 5251, 5250, 5249, 5248, 5247, 5246]","[275, 653, 990, 1268, 1597, 1920, 2310, 2573, 2970, 3240]","[1.0, 0.0, 1.0, 0.0, 0.0, 0.009999999999990905, 0.01999999999998181, 0.01999999999998181, 0.01999999999998181, 1.0199999999999818]","[27.9, 27.871, 27.886, 27.9, 27.871, 27.85, 27.857, 27.833, 27.8, 27.833]","[69.786, 70.188, 70.0, 69.357, 69.125, 68.571, 69.25, 68.571, 69.062, 68.571]",27.886,70.125,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734891763,[],[],[],[],[],27.886,70.562,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734890715,"[5261, 5260, 5259, 5258, 5257, 5256, 5255, 5254, 5253, 5252, 5251]","[267, 660, 922, 1319, 1594, 1979, 2254, 2632, 2969, 3247, 3576]","[0.0, 0.0, 0.009999999999990905, 0.009999999999990905, 0.020000000000010232, 0.020000000000010232, 1.0200000000000102, 0.020000000000010232, 1.0200000000000102, 0.020000000000010232, 0.020000000000010232]","[27.9, 27.883, 27.883, 27.9, 27.9, 27.886, 27.9, 27.871, 27.886, 27.9, 27.871]","[70.214, 70.714, 70.143, 70.438, 70.071, 70.125, 69.786, 70.188, 70.0, 69.357, 69.125]",27.886,70.562,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734887746,[],[],[],[],[],27.886,70.0,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734894081,[],[],[],[],[],27.883,70.5,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
