timestamp,temperature,humidity,power_consumption,energy_consumption,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode,FC_Unit_3_Status,FC_Unit_3_Fan_Status,FC_Unit_3_Set_Point,FC_Unit_3_Operation_Mode,FC_Unit_4_Status,FC_Unit_4_Fan_Status,FC_Unit_4_Set_Point,FC_Unit_4_Operation_Mode,FC_Unit_5_Status,FC_Unit_5_Fan_Status,FC_Unit_5_Set_Point,FC_Unit_5_Operation_Mode,FC_Unit_6_Status,FC_Unit_6_Fan_Status,FC_Unit_6_Set_Point,FC_Unit_6_Operation_Mode,FC_Unit_7_Status,FC_Unit_7_Fan_Status,FC_Unit_7_Set_Point,FC_Unit_7_Operation_Mode,FC_Unit_8_Status,FC_Unit_8_Fan_Status,FC_Unit_8_Set_Point,FC_Unit_8_Operation_Mode
1733744379,25.933,67.214,9.6455,3033.8,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL
1733744705,25.6,67.0,4.9384999999999994,3034.2799999999997,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL
1733745034,25.417,65.643,8.0172,3034.9,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL
1733745360,25.15,64.929,4.6782,3035.54,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL
1733745693,25.05,64.429,4.8648,3035.99,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL
1733745967,24.814,63.438,5.9707,3036.57,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL
1733746358,24.7,62.571,5.923100000000001,3037.11,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL
1733746683,24.7,61.857,10.3271,3037.70999,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL
1733746957,24.4,61.571,4.7243,3038.22,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL
1733747347,24.483,61.214,5.399400000000001,3038.6600000000003,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL
1733747633,24.329,59.812,5.0367999999999995,3039.29,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL
1733748003,24.367,60.214,3.6976,3039.5699999999997,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL
1733748337,24.271,60.375,4.9372,3040.11,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733748662,24.283,60.071,3.9982,3040.64999,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733748937,24.129,59.75,4.5657,3041.02,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733749314,24.114,59.375,8.1298,3041.54,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733749651,24.2,59.571,4.684399999999999,3042.0299999999997,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733749927,24.114,59.562,6.330900000000001,3042.47999,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733750322,24.2,59.357,4.8275999999999994,3043.08,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733750587,24.05,59.857,6.7138,3043.5499900000004,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733750980,24.117,59.286,14.0681,3044.54,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733751247,23.833,59.714,1.5547,3045.5199999999995,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733751634,24.0,59.786,3.6309,3045.8,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733751907,23.929,60.25,4.986,3046.16,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733752296,24.083,60.0,6.5563,3046.82,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733752567,23.983,60.214,4.944100000000001,3047.29,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733752913,24.014,59.562,9.3878,3047.87999,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733753283,24.083,58.357,2.9787,3048.2200000000003,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733753614,24.043,58.625,5.7293,3048.61,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733753945,24.1,58.143,2.4044000000000003,3049.14999,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,ON,VERY HIGH,23.0,COOL
1733754217,23.95,58.929,4.6654,3049.5099999999998,ON,VERY LOW,24.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,ON,VERY HIGH,23.0,COOL
