timestamp,temperature,humidity,power_consumption_room_1,energy_consumption_room_1,power_consumption_room_2,energy_consumption_room_2,outdoor_temperature,outdoor_humidity,door_status,occupancy,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode,FC_Unit_3_Status,FC_Unit_3_Fan_Status,FC_Unit_3_Set_Point,FC_Unit_3_Operation_Mode,FC_Unit_4_Status,FC_Unit_4_Fan_Status,FC_Unit_4_Set_Point,FC_Unit_4_Operation_Mode,FC_Unit_5_Status,FC_Unit_5_Fan_Status,FC_Unit_5_Set_Point,FC_Unit_5_Operation_Mode,FC_Unit_6_Status,FC_Unit_6_Fan_Status,FC_Unit_6_Set_Point,FC_Unit_6_Operation_Mode
1732813606,25.633,76.357,0.04,3376.25,0.02,2873.42,27.8,85.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732814216,25.717,77.643,0.06,3376.26,0.02,2873.42,27.6,88.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732814825,25.783,77.5,0.04,3376.26,0.02,2873.42,27.5,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732815435,25.817,77.786,0.04,3376.27,0.02,2873.42,27.4,89.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732816045,25.883,76.667,0.04,3376.2799999999997,0.02,2873.43,27.4,89.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732816655,25.95,78.714,0.04,3376.29,0.02,2873.43,27.2,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732817265,25.983,78.857,0.04,3376.3,0.02,2873.43,27.4,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732817875,26.0,78.643,0.04,3376.3,0.02,2873.43,27.4,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732818486,26.033,79.143,0.04,3376.31,0.02,2873.44,27.3,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1732819096,26.05,79.429,0.04,3376.3199999999997,0.02,2873.44,27.1,89.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
