,timestamp,temperature,humidity,power_consumption,energy_consumption,outdoor_temperature,outdoor_humidity,door_status,occupancy,FC_Unit_3_Status,FC_Unit_3_Fan_Status,FC_Unit_3_Set_Point,FC_Unit_3_Operation_Mode,FC_Unit_4_Status,FC_Unit_4_Fan_Status,FC_Unit_4_Set_Point,FC_Unit_4_Operation_Mode,FC_Unit_5_Status,FC_Unit_5_Fan_Status,FC_Unit_5_Set_Point,FC_Unit_5_Operation_Mode,FC_Unit_6_Status,FC_Unit_6_Fan_Status,FC_Unit_6_Set_Point,FC_Unit_6_Operation_Mode
135,1733240159,24.125,67.25,2.9400000000000004,3551.7799999999997,33.1,56.5,0.0,4.0,ON,LOW,22.0,COOL,ON,LOW,22.5,COOL,ON,LOW,22.5,AUTO,ON,LOW,22.5,COOL
136,1733240787,23.8,66.125,4.41,3552.37,32.9,56.5,0.0,4.0,ON,LOW,22.0,COOL,ON,LOW,22.5,COOL,ON,LOW,22.5,AUTO,ON,LOW,22.5,COOL
137,1733241416,23.725,66.125,4.93,3553.09,32.9,56.5,0.0,4.0,ON,LOW,22.0,COOL,ON,LOW,22.5,COOL,ON,LOW,22.5,AUTO,ON,LOW,22.5,COOL
138,1733242044,23.4,64.75,0.8400000000000001,3553.77,33.0,56.5,0.0,2.0,ON,LOW,22.0,COOL,ON,LOW,22.5,COOL,ON,LOW,22.5,AUTO,ON,LOW,22.5,COOL
427,1733418022,30.65,63.0,0.09000000000000001,3558.11,33.8,50.5,0.0,0.0,OFF,MED,22.0,COOL,ON,HIGH,22.5,COOL,OFF,QUIET,22.5,COOL,ON,LOW,22.5,COOL
428,1733418651,29.15,58.375,6.64,3558.94,33.9,49.5,0.0,0.0,OFF,MED,22.0,COOL,ON,HIGH,22.5,COOL,OFF,QUIET,22.5,COOL,ON,LOW,22.5,COOL
435,1733423679,26.325,52.25,3.5999999999999996,3561.3900000000003,33.5,50.5,0.0,0.0,ON,MED,22.0,COOL,ON,HIGH,22.5,COOL,ON,QUIET,22.5,COOL,ON,LOW,22.5,COOL
436,1733424307,25.75,55.625,3.77,3562.1000000000004,32.5,54.0,0.0,0.0,ON,MED,22.0,COOL,ON,HIGH,22.5,COOL,ON,QUIET,22.5,COOL,ON,LOW,22.5,COOL
437,1733424936,25.025,57.125,2.6,3562.73,32.2,55.0,0.0,0.0,ON,MED,22.0,COOL,ON,HIGH,22.5,COOL,ON,QUIET,22.5,COOL,ON,LOW,22.5,COOL
438,1733425564,24.95,59.5,3.6799999999999997,3563.33,32.2,55.0,0.0,0.0,ON,MED,22.0,COOL,ON,HIGH,22.5,COOL,ON,QUIET,22.5,COOL,ON,LOW,22.5,COOL
