,timestamp,temperature,humidity,power_consumption,energy_consumption,outdoor_temperature,outdoor_humidity,door_status,occupancy,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode
170,1732917410,,,2.06,2874.51,28.0,81.5,0.0,17.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL
171,1732918019,,,1.9100000000000001,2874.87,28.0,81.5,0.0,17.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL
172,1732918629,,,1.6400000000000001,2875.16,28.0,81.5,0.0,17.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL
173,1732919240,,,0.81,2875.37,28.0,81.5,0.0,17.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL
174,1732919850,,,1.3,2875.67,28.0,81.5,0.0,17.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL
175,1732920460,,,1.23,2875.93,28.0,81.5,0.0,17.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL
176,1732921070,,,1.21,2876.19,28.0,81.5,0.0,17.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL
177,1732921679,,,1.22,2876.47,28.0,81.5,0.0,17.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL
178,1732922289,,,1.22,2876.72,28.0,81.5,0.0,17.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL
221,1732948528,,,2.32,2877.42,28.0,81.5,0.0,17.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL
222,1732949138,,,2.19,2877.85,28.0,81.5,0.0,17.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL
223,1732949749,,,2.3,2878.22,28.0,81.5,0.0,17.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL
224,1732950359,,,1.24,2878.48,28.0,81.5,0.0,17.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL
225,1732950969,,,1.24,2878.73,28.0,81.5,0.0,17.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL
226,1732951580,,,1.25,2879.0,28.0,81.5,0.0,17.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL
