Row	energy_consumption	starting_temp	starting_humi	time_taken	factor	path	ending_temp	ending_humi
0	[]	24.79	48.75	[]	Infinity	[]		
1	[]	24.79	48.75	[]	Infinity	[]		
2	[]	24.79	48.75	[]	Infinity	[]		
3	[]	24.79	48.75	[]	Infinity	[]		
4	[]	24.79	48.75	[]	Infinity	[]		
5	[]	24.79	48.75	[]	Infinity	[]		
6	[]	24.79	48.75	[]	Infinity	[]		
7	[]	24.79	48.75	[]	Infinity	[]		
8	[]	24.79	48.75	[]	Infinity	[]		
9	[]	24.79	48.75	[]	Infinity	[]		
10	[]	24.79	48.75	[]	Infinity	[]		
11	[]	24.79	48.75	[]	Infinity	[]		
12	[]	24.79	48.75	[]	Infinity	[]		
13	[]	24.79	48.75	[]	Infinity	[]		
14	[]	24.79	48.75	[]	Infinity	[]		
15	[]	24.79	48.75	[]	Infinity	[]		
16	[]	24.79	48.75	[]	Infinity	[]		
17	[]	24.79	48.75	[]	Infinity	[]		
18	[]	24.79	48.75	[]	Infinity	[]		
19	[]	24.79	48.75	[]	Infinity	[]		
20	[]	24.79	48.75	[]	Infinity	[]		
21	[]	24.79	48.75	[]	Infinity	[]		
22	[]	24.79	48.75	[]	Infinity	[]		
23	[]	24.79	48.75	[]	Infinity	[]		
24	[]	24.79	48.75	[]	Infinity	[]		
25	[]	24.79	48.75	[]	Infinity	[]		
26	[]	24.79	48.75	[]	Infinity	[]		
27	[]	24.79	48.75	[]	Infinity	[]		
28	[]	24.79	48.75	[]	Infinity	[]		
29	[]	24.79	48.75	[]	Infinity	[]		
30	[]	24.79	48.75	[]	Infinity	[]		
31	[]	24.79	48.75	[]	Infinity	[]		
32	[]	24.79	48.75	[]	Infinity	[]		
33	[]	24.79	48.75	[]	Infinity	[]		
34	[]	24.79	48.75	[]	Infinity	[]		
35	[]	24.79	48.75	[]	Infinity	[]		
36	[]	24.79	48.75	[]	Infinity	[]		
37	[]	24.79	48.75	[]	Infinity	[]		
38	[]	24.79	48.75	[]	Infinity	[]		
39	[]	24.79	48.75	[]	Infinity	[]		
40	[]	24.79	48.75	[]	Infinity	[]		
41	[]	24.79	48.75	[]	Infinity	[]		
42	[]	24.79	48.75	[]	Infinity	[]		
43	[]	24.79	48.75	[]	Infinity	[]		
44	[]	24.79	48.75	[]	Infinity	[]		
45	[]	24.79	48.75	[]	Infinity	[]		
46	[]	24.79	48.75	[]	Infinity	[]		
47	[]	24.79	48.75	[]	Infinity	[]		
48	[]	24.79	48.75	[]	Infinity	[]		
49	[]	24.79	48.75	[]	Infinity	[]		
50	[]	24.79	48.75	[]	Infinity	[]		
51	[]	24.79	48.75	[]	Infinity	[]		
52	[]	24.79	48.75	[]	Infinity	[]		
53	[]	24.79	48.75	[]	Infinity	[]		
54	[]	24.79	48.75	[]	Infinity	[]		
55	[]	22.98	60.5	[]	Infinity	[]		
56	[]	22.98	60.5	[]	Infinity	[]		
57	[]	24.79	48.75	[]	Infinity	[]		
58	[]	24.79	48.75	[]	Infinity	[]		
59	[]	22.98	60.5	[]	Infinity	[]		
60	[]	22.98	60.5	[]	Infinity	[]		
61	[]	22.98	60.5	[]	Infinity	[]		
62	[]	22.98	60.5	[]	Infinity	[]		
63	[]	22.98	60.5	[]	Infinity	[]		
64	[]	22.98	60.5	[]	Infinity	[]		
65	[]	24.79	48.75	[]	Infinity	[]		
66	[]	24.79	48.75	[]	Infinity	[]		
67	[]	24.79	48.75	[]	Infinity	[]		
68	[]	24.79	48.75	[]	Infinity	[]		
69	[]	24.79	48.75	[]	Infinity	[]		
