Datetime,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode,FC_Unit_3_Status,FC_Unit_3_Fan_Status,FC_Unit_3_Set_Point,FC_Unit_3_Operation_Mode,FC_Unit_4_Status,FC_Unit_4_Fan_Status,FC_Unit_4_Set_Point,FC_Unit_4_Operation_Mode,FC_Unit_5_Status,FC_Unit_5_Fan_Status,FC_Unit_5_Set_Point,FC_Unit_5_Operation_Mode,FC_Unit_6_Status,FC_Unit_6_Fan_Status,FC_Unit_6_Set_Point,FC_Unit_6_Operation_Mode,FC_Unit_7_Status,FC_Unit_7_Fan_Status,FC_Unit_7_Set_Point,FC_Unit_7_Operation_Mode,FC_Unit_8_Status,FC_Unit_8_Fan_Status,FC_Unit_8_Set_Point,FC_Unit_8_Operation_Mode,Sensor_1_Current,Sensor_1_Energy,Sensor_1_Power,Sensor_3_Current,Sensor_3_Energy,Sensor_3_Power,Sensor_6_Current,Sensor_6_Energy,Sensor_6_Power,24E124725E331695_Humidity,24E124725E331695_Temperature,24E124725E331744_Humidity,24E124725E331744_Temperature,24E124725E332483_Humidity,24E124725E332483_Temperature,24E124725E331733_Humidity,24E124725E331733_Temperature,24E124725E290348_Humidity,24E124725E290348_Temperature,24E124725E286745_Humidity,24E124725E286745_Temperature,24E124725E286745_CO2,24E124725E285123_Humidity,24E124725E285123_Temperature,24E124725E285123_CO2,weather_status,weather_temp,weather_humid,total_energy,total_power,total_current,avg_temperature,avg_humidity,avg_co2
2024-12-03 12:09:15,ON,VERY LOW,23.0,COOL,ON,VERY LOW,23.0,COOL,ON,MID,22.0,COOL,ON,VERY LOW,22.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,23.0,COOL,8.509001,2689.15,5.3393,2.095,79.83,0.27390000000000003,0.971,85.63,0.1371,66.0,23.0,67.0,22.4,65.5,23.1,67.5,22.7,65.5,23.0,63.5,22.9,505.0,65.5,22.9,398.0,Clouds,30.4,68,2854.61,5.7503,11.575001,22.857142857142858,65.78571428571429,451.5
2024-12-03 12:22:54,OFF,OFF,21.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,22.0,COOL,OFF,OFF,22.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,0.778,2690.5,0.33740000000000003,0.222,79.88,0.0449,0.325,85.66,0.056900000000000006,65.5,22.5,65.5,21.9,64.0,22.6,65.5,22.0,65.0,22.8,63.5,22.3,521.0,64.5,22.4,409.0,Clouds,30.46,68,2856.04,0.43920000000000003,1.325,22.357142857142858,64.78571428571429,465.0
2024-12-03 12:32:53,OFF,OFF,21.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,22.0,COOL,OFF,OFF,22.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,0.578,2690.53,0.13970000000000002,0.08600000000000001,79.88,0.013000000000000001,0.096,85.66,0.014700000000000001,64.0,23.0,65.0,22.6,63.5,22.9,65.0,22.6,64.0,22.9,62.5,22.9,502.0,64.5,22.5,414.0,Clouds,30.46,68,2856.07,0.16740000000000002,0.7599999999999999,22.771428571428572,64.07142857142857,458.0
2024-12-03 12:42:53,OFF,OFF,21.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,22.0,COOL,OFF,OFF,22.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,0.582,2690.55,0.1394,0.08600000000000001,79.88,0.0129,0.096,85.66,0.0146,63.5,23.4,64.5,23.1,63.0,23.3,64.5,23.2,63.5,23.2,62.0,23.2,512.0,63.0,23.2,424.0,Clouds,30.46,68,2856.09,0.1669,0.7639999999999999,23.228571428571428,63.42857142857143,468.0
2024-12-03 12:52:53,OFF,OFF,21.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,22.0,COOL,OFF,OFF,22.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,0.589,2690.58,0.1389,0.08600000000000001,79.89,0.013000000000000001,0.095,85.67,0.0143,63.0,23.9,64.0,23.5,63.0,23.8,64.0,23.5,63.0,23.6,61.0,23.7,518.0,62.0,23.7,435.0,Clouds,30.46,68,2856.14,0.16620000000000001,0.7699999999999999,23.67142857142857,62.857142857142854,476.5
2024-12-03 13:02:53,OFF,OFF,21.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,22.0,COOL,OFF,OFF,22.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,0.585,2690.6,0.13820000000000002,0.08600000000000001,79.89,0.0131,0.096,85.67,0.0143,62.0,24.1,63.5,23.8,62.5,24.1,63.0,23.8,62.5,23.8,60.5,23.9,508.0,61.5,23.9,415.0,Clouds,30.46,68,2856.16,0.16560000000000002,0.7669999999999999,23.914285714285715,62.214285714285715,461.5
2024-12-03 13:12:53,OFF,OFF,21.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,22.0,COOL,OFF,OFF,22.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,0.58,2690.62,0.1375,0.085,79.89,0.0131,0.096,85.67,0.0145,61.5,24.4,63.5,24.1,62.0,24.3,62.5,24.1,62.5,24.1,60.0,24.3,512.0,61.0,24.3,395.0,Clouds,31.97,60,2856.18,0.16510000000000002,0.7609999999999999,24.22857142857143,61.857142857142854,453.5
2024-12-03 13:22:53,OFF,OFF,21.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,22.0,COOL,OFF,OFF,22.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,0.581,2690.64,0.1379,0.085,79.89,0.0128,0.096,85.67,0.0145,61.5,24.6,63.0,24.3,61.5,24.6,62.0,24.4,62.0,24.4,59.5,24.4,492.0,60.5,24.4,413.0,Clouds,31.97,60,2856.2,0.1652,0.7619999999999999,24.442857142857147,61.42857142857143,452.5
2024-12-03 13:32:53,OFF,OFF,21.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,22.0,COOL,OFF,OFF,22.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,0.5740000000000001,2690.67,0.1376,0.085,79.9,0.0131,0.096,85.68,0.0143,61.0,24.8,62.5,24.5,61.0,24.8,61.5,24.6,62.0,24.5,59.5,24.7,501.0,60.0,24.7,412.0,Clouds,31.97,60,2856.25,0.165,0.755,24.65714285714285,61.07142857142857,456.5
2024-12-03 13:42:54,OFF,OFF,21.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,22.0,COOL,OFF,OFF,22.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,0.5720000000000001,2690.69,0.13770000000000002,0.08600000000000001,79.9,0.0129,0.095,85.68,0.0145,61.0,25.0,62.5,24.7,61.0,25.0,61.0,24.8,62.0,24.7,59.0,24.8,493.0,60.0,24.9,427.0,Clouds,31.97,60,2856.27,0.16510000000000002,0.753,24.842857142857145,60.92857142857143,460.0
