,timestamp,temperature,humidity,power_consumption,energy_consumption,outdoor_temperature,outdoor_humidity,door_status,occupancy,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode
412,1733409223,30.2,67.0,0.25,2970.54,32.9,53.0,0.0,0.0,ON,HIGH,21.0,COOL,ON,MED,21.0,COOL
413,1733409851,27.85,59.25,7.36,2971.5,33.5,52.5,0.0,0.0,ON,HIGH,21.0,COOL,ON,MED,21.0,COOL
414,1733410480,25.95,51.25,5.87,2972.68,33.1,53.0,0.0,2.0,ON,HIGH,21.0,COOL,ON,MED,21.0,COOL
415,1733411108,24.85,56.5,0.63,2973.37,33.5,51.5,0.0,6.0,ON,MED,24.0,COOL,ON,LOW,24.0,COOL
416,1733411737,25.7,60.5,1.8900000000000001,2973.7,33.3,52.5,0.0,6.0,ON,MED,24.0,COOL,ON,LOW,24.0,COOL
417,1733412365,25.6,61.25,1.85,2974.02,33.2,52.0,0.0,6.0,ON,MED,24.0,COOL,ON,LOW,24.0,COOL
418,1733412994,25.65,61.0,1.96,2974.35,33.8,49.5,0.0,6.0,ON,MED,24.0,COOL,ON,LOW,24.0,COOL
419,1733413623,25.85,63.25,1.5,2974.65,34.0,49.0,0.0,1.0,ON,MED,24.0,COOL,ON,LOW,24.0,COOL
525,1733480871,28.75,67.0,5.42,2976.48,31.1,60.5,0.0,1.0,ON,MED,24.0,COOL,ON,LOW,24.0,COOL
531,1733484642,29.75,62.5,0.09,2977.14,31.9,58.0,0.0,3.0,ON,MED,22.0,COOL,OFF,LOW,24.0,COOL
532,1733485271,27.7,60.5,2.76,2977.55,32.2,56.5,0.0,5.0,ON,MED,22.0,COOL,OFF,LOW,24.0,COOL
533,1733485899,26.9,58.75,2.8,2978.03,32.6,56.0,0.0,5.0,ON,MED,22.0,COOL,OFF,LOW,24.0,COOL
819,1733666283,31.2,64.75,1.77,2979.16,34.0,58.5,0.0,4.0,ON,MED,22.0,COOL,OFF,MED,22.0,COOL
820,1733666912,28.6,58.0,2.83,2979.62,34.1,57.0,0.0,9.0,ON,MED,22.0,COOL,OFF,MED,22.0,COOL
821,1733667540,27.75,53.75,2.83,2980.11,34.4,57.0,0.0,9.0,ON,MED,22.0,COOL,OFF,MED,22.0,COOL
822,1733668169,26.8,49.25,2.8200000000000003,2980.59,33.9,58.0,0.0,9.0,ON,MED,22.0,COOL,OFF,MED,22.0,COOL
823,1733668797,26.3,46.75,2.89,2981.09,34.5,52.5,0.0,9.0,ON,MED,22.0,COOL,OFF,MED,22.0,COOL
1066,1733821527,28.2,69.0,3.83,2982.16,26.7,73.5,0.0,0.0,ON,MED,22.5,COOL,ON,MED,22.5,COOL
1067,1733822156,25.05,57.0,2.77,2982.92,26.8,74.5,0.0,0.0,ON,MED,23.0,COOL,ON,MED,23.0,COOL
1068,1733822784,24.6,60.5,1.99,2983.28,26.9,74.5,0.0,0.0,ON,MED,23.0,COOL,ON,MED,23.0,COOL
1069,1733823413,24.2,61.25,1.77,2983.64,27.0,73.5,0.0,0.0,ON,MED,23.0,COOL,ON,MED,23.0,COOL
1070,1733824041,24.35,62.0,1.67,2984.06,27.2,74.0,0.0,0.0,ON,MED,23.0,COOL,ON,MED,23.0,COOL
1071,1733824670,24.3,61.75,2.08,2984.41,27.4,73.5,0.0,0.0,ON,MED,23.0,COOL,ON,MED,23.0,COOL
1072,1733825298,24.2,63.5,2.15,2984.77,27.5,72.0,0.0,2.0,ON,MED,23.0,COOL,ON,MED,23.0,COOL
1073,1733825926,23.95,62.75,2.9699999999999998,2985.12,27.6,71.5,0.0,2.0,ON,MED,23.0,COOL,ON,MED,23.0,COOL
1074,1733826555,23.95,62.5,1.94,2985.49,27.8,70.5,0.0,4.0,ON,MED,23.0,COOL,ON,MED,23.0,COOL
1075,1733827183,23.9,63.5,1.92,2985.83,28.3,69.5,0.0,4.0,ON,MED,23.0,COOL,ON,MED,23.0,COOL
1076,1733827812,24.05,66.0,2.43,2986.17,28.4,69.0,0.0,4.0,ON,MED,23.0,COOL,ON,MED,23.0,COOL
1077,1733828441,23.9,64.0,2.07,2986.53,28.6,68.5,0.0,4.0,ON,MED,23.0,COOL,ON,MED,23.0,COOL
1078,1733829070,23.85,64.0,2.0,2986.87,28.8,68.0,0.0,4.0,ON,MED,23.0,COOL,ON,MED,23.0,COOL
1079,1733829699,24.3,68.0,1.6800000000000002,2987.21,29.1,67.5,0.0,1.0,ON,MED,23.0,COOL,ON,MED,23.0,COOL
1094,1733839128,27.65,64.5,5.67,2987.79,30.2,64.0,0.0,0.0,ON,MED,23.0,COOL,ON,MED,23.0,COOL
