,timestamp,temperature,humidity,power_consumption,energy_consumption,outdoor_temperature,outdoor_humidity,door_status,occupancy,FC_Unit_3_Status,FC_Unit_3_Fan_Status,FC_Unit_3_Set_Point,FC_Unit_3_Operation_Mode,FC_Unit_4_Status,FC_Unit_4_Fan_Status,FC_Unit_4_Set_Point,FC_Unit_4_Operation_Mode,FC_Unit_5_Status,FC_Unit_5_Fan_Status,FC_Unit_5_Set_Point,FC_Unit_5_Operation_Mode,FC_Unit_6_Status,FC_Unit_6_Fan_Status,FC_Unit_6_Set_Point,FC_Unit_6_Operation_Mode
0,1732813606,24.95,77.375,0.04,3376.25,27.8,85.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
1,1732814216,25.075,78.625,0.06,3376.26,27.6,88.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
2,1732814825,25.2,78.25,0.04,3376.26,27.5,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
3,1732815435,25.275,78.25,0.04,3376.27,27.4,89.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
4,1732816045,25.375,79.0,0.04,3376.2799999999997,27.4,89.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
5,1732816655,25.45,79.25,0.04,3376.29,27.2,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
6,1732817265,25.525,79.5,0.04,3376.3,27.4,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
7,1732817875,25.55,79.25,0.04,3376.3,27.4,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
8,1732818486,25.625,79.5,0.04,3376.31,27.3,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
9,1732819096,25.65,80.0,0.04,3376.3199999999997,27.1,89.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
10,1732819706,25.675,80.25,0.04,3376.33,27.1,89.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
11,1732820315,25.75,80.5,0.04,3376.33,27.2,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
12,1732820926,25.775,80.625,0.04,3376.34,27.3,89.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
13,1732821543,25.8,80.875,0.06,3376.34,27.4,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,0.0,COOL
14,1732822153,25.825,81.125,0.04,3376.3599999999997,27.4,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
15,1732822770,25.875,81.375,0.04,3376.3599999999997,27.4,88.5,0.0,0.0,OFF,MED,0.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
16,1732823380,25.9,81.5,0.04,3376.37,27.6,88.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
17,1732823989,25.95,81.375,0.04,3376.37,27.5,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
18,1732824600,25.95,81.75,0.04,3376.38,27.2,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
19,1732825210,25.95,82.0,0.04,3376.3900000000003,27.3,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
20,1732825821,25.975,81.875,0.04,3376.4,27.1,89.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
21,1732826431,26.0,82.0,0.04,3376.41,27.1,90.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
22,1732827041,26.0,82.0,0.04,3376.41,27.1,89.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,AUTO,OFF,MED,22.0,COOL
