,timestamp,temperature,humidity,power_consumption,energy_consumption,outdoor_temperature,outdoor_humidity,door_status,occupancy,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode
0,1732813606,27.0,69.75,0.02,2873.42,27.8,85.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
1,1732814216,27.0,70.5,0.02,2873.42,27.6,88.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
2,1732814825,26.95,70.5,0.02,2873.42,27.5,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
3,1732815435,26.9,71.0,0.02,2873.42,27.4,89.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
4,1732816045,26.9,72.0,0.02,2873.43,27.4,89.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
5,1732816655,26.95,72.75,0.02,2873.43,27.2,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
6,1732817265,26.9,72.75,0.02,2873.43,27.4,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
7,1732817875,26.9,72.5,0.02,2873.43,27.4,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
8,1732818486,26.85,73.75,0.02,2873.44,27.3,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
9,1732819096,26.85,73.25,0.02,2873.44,27.1,89.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
10,1732819706,26.85,74.0,0.02,2873.44,27.1,89.0,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
11,1732820315,26.85,74.25,0.02,2873.45,27.2,88.5,0.0,0.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
